,Enforcement Actions
China,39
Russia,9
Brazil,9
India,7
Libya,6
Angola,5
Poland,5
Italy,5
Africa,4
Germany,3
Mexico,3
Saudi Arabia,3
Argentina,2
Guinea,2
Indonesia,2
Iraq,2
Kasakhstan,2
Kenya,2
Romania,2
Turkey,2
United Kingdom,2
Uzbekistan,2
Australia,1
Bangladesh,1
Belarus,1
Canada,1
Croatia,1
Dominican Repulic,1
Congo Repulic,1
Egypt,1
Equitorial Guinea,1
Georgia,1
Greece,1
Hong Kong,1
Iran,1
Jordan,1
Oman,1
Pakistan,1
Qatar,1
Serbia,1
Slovokia,1
Switzerland,1
UAE,1
Ukraine,1
